trip_id,segment_id,scenario_type,line,boarding_station,alighting_station,station_sequence,gps_point_count,start_distance_to_expected_station_m,end_distance_to_expected_station_m,median_distance_to_nearest_expected_station_m,p95_distance_to_nearest_expected_station_m,max_distance_to_nearest_expected_station_m,stored_reference_order,actual_line5_order,status_reason
trip_000401,1,rail,line_7,건대입구,가산디지털단지,건대입구 > 고속터미널 > 이수 > 가산디지털단지,372,0.718,4.465,1543.328,3860.538,4391.098,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000402,1,rail,line_7,고속터미널,가산디지털단지,고속터미널 > 이수 > 가산디지털단지,244,4.300,5.413,1230.786,4008.016,4380.558,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000403,1,rail,line_2,선릉,왕십리,선릉 > 삼성 > 왕십리,182,1.717,1.591,795.250,1796.253,2036.733,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000404,1,rail,line_6,합정,이태원,합정 > 공덕 > 이태원,195,2.625,3.593,826.904,1756.751,1966.133,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000405,1,rail,line_3,종로3가,고속터미널,종로3가 > 압구정 > 고속터미널,182,26.382,116.813,1052.204,2596.069,2913.876,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000406,1,rail,line_7,이수,가산디지털단지,이수 > 가산디지털단지,168,6.005,5.270,1629.991,4074.325,4381.903,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000407,1,rail,line_5,마곡나루,왕십리,마곡나루 > 공덕 > 여의도 > 왕십리,627,2.748,5.101,1779.631,4545.505,5129.799,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000408,1,rail,line_3,교대,양재,교대 > 양재,40,9.103,8.391,386.299,958.505,1029.669,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000409,1,rail,line_3,고속터미널,일원,고속터미널 > 교대 > 양재 > 일원,164,2.689,15.324,598.615,1961.886,2183.847,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000410,1,rail,line_1,시청,청량리,시청 > 종각 > 종로3가 > 동대문 > 청량리,138,7.507,30.028,359.594,1484.296,1688.412,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000411,1,rail,line_4,명동,사당,명동 > 서울역 > 사당,258,10.847,1.891,1146.230,3915.574,4244.447,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000412,1,rail,line_7,고속터미널,가산디지털단지,고속터미널 > 이수 > 가산디지털단지,243,3.130,49.434,1192.461,3971.834,4393.660,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000413,1,rail,line_4,창동,서울역,창동 > 동대문역사문화공원 > 명동 > 서울역,280,6.394,24.403,1085.469,4665.430,5140.900,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000414,1,rail,line_9,고속터미널,신논현,고속터미널 > 신논현,40,14.259,11.163,306.778,785.164,856.092,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000415,1,rail,line_5,공덕,왕십리,공덕 > 여의도 > 왕십리,315,12.193,21.853,1352.757,3608.610,4045.285,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000416,1,rail,line_9,김포공항,신논현,김포공항 > 여의도 > 노량진 > 고속터미널 > 신논현,450,1.357,22.444,1478.335,5226.910,5846.232,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000417,1,rail,line_6,공덕,약수,공덕 > 이태원 > 약수,140,3.998,9.473,750.313,1787.701,1971.861,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000418,1,rail,line_9,김포공항,신논현,김포공항 > 여의도 > 노량진 > 고속터미널 > 신논현,557,3.334,1.896,1467.601,5241.953,5841.040,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000419,1,rail,line_7,고속터미널,이수,고속터미널 > 이수,66,5.684,6.529,549.560,1356.317,1478.607,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000420,1,rail,line_5,김포공항,여의도,김포공항 > 마곡나루 > 공덕 > 여의도,362,1.848,5.355,1134.394,4597.450,5126.717,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000421,1,rail,line_1,서울역,청량리,서울역 > 시청 > 종각 > 종로3가 > 동대문 > 청량리,199,9.824,6.261,401.970,1472.337,1672.460,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000422,1,rail,line_4,창동,명동,창동 > 동대문역사문화공원 > 명동,267,3.000,0.654,1419.959,4731.755,5162.292,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000423,1,rail,line_7,이수,가산디지털단지,이수 > 가산디지털단지,193,1.398,2.580,1638.321,4072.969,4363.684,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000424,1,rail,line_6,약수,태릉입구,약수 > 태릉입구,155,21.510,21.922,1711.501,4164.451,4498.749,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000425,1,rail,line_1,서울역,종로3가,서울역 > 시청 > 종각 > 종로3가,72,12.872,18.364,250.092,635.781,721.008,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000426,1,rail,line_6,이태원,태릉입구,이태원 > 약수 > 태릉입구,258,9.118,1.804,1161.848,4127.230,4519.244,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000427,1,rail,line_3,연신내,압구정,연신내 > 불광 > 종로3가 > 압구정,250,2.244,9.921,1196.439,3044.301,3510.339,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000428,1,rail,line_7,고속터미널,이수,고속터미널 > 이수,58,25.690,22.250,506.030,1357.962,1470.949,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000429,1,rail,line_6,이태원,약수,이태원 > 약수,64,1.607,9.325,499.794,1228.117,1326.548,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000430,1,rail,line_3,종로3가,일원,종로3가 > 압구정 > 고속터미널 > 교대 > 양재 > 일원,371,11.256,7.368,919.789,2508.851,2912.956,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000431,1,rail,line_6,약수,태릉입구,약수 > 태릉입구,242,0.739,6.450,1685.832,4193.662,4510.674,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000432,1,rail,line_4,명동,서울역,명동 > 서울역,34,13.043,1.221,251.070,691.137,749.957,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000433,1,rail,line_3,압구정,양재,압구정 > 고속터미널 > 교대 > 양재,140,5.662,6.096,528.124,1384.442,1545.661,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000434,1,rail,line_3,종로3가,일원,종로3가 > 압구정 > 고속터미널 > 교대 > 양재 > 일원,322,10.094,15.842,925.670,2477.475,2922.772,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000435,1,rail,line_1,동대문,청량리,동대문 > 청량리,65,2.273,2.284,619.206,1554.178,1679.734,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000436,1,rail,line_2,건대입구,삼성,건대입구 > 강남 > 선릉 > 삼성,208,3.451,21.312,686.355,1854.073,2015.729,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000437,1,rail,line_7,이수,가산디지털단지,이수 > 가산디지털단지,185,11.350,0.699,1692.098,4086.393,4377.969,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000438,1,rail,line_1,종로3가,동대문,종로3가 > 동대문,40,10.778,2.422,316.309,777.258,823.341,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000439,1,rail,line_1,서울역,청량리,서울역 > 시청 > 종각 > 종로3가 > 동대문 > 청량리,164,17.919,7.097,406.197,1451.062,1678.681,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000440,1,rail,line_4,동대문역사문화공원,서울역,동대문역사문화공원 > 명동 > 서울역,64,7.522,23.581,395.884,859.706,980.202,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000441,1,rail,line_6,이태원,태릉입구,이태원 > 약수 > 태릉입구,208,22.558,18.611,1186.908,4094.879,4490.612,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000442,1,rail,line_7,이수,가산디지털단지,이수 > 가산디지털단지,225,2.177,18.241,1676.138,4074.391,4380.178,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000443,1,rail,line_2,건대입구,삼성,건대입구 > 강남 > 선릉 > 삼성,227,14.883,11.042,681.474,1860.896,2017.744,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000444,1,rail,line_3,종로3가,고속터미널,종로3가 > 압구정 > 고속터미널,226,10.766,4.517,990.946,2649.276,2919.045,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000445,1,rail,line_5,마곡나루,여의도,마곡나루 > 공덕 > 여의도,374,9.335,20.479,1498.149,4718.229,5141.220,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000446,1,rail,line_4,명동,서울역,명동 > 서울역,26,3.412,7.799,252.741,674.920,750.959,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000447,1,rail,line_1,종로3가,동대문,종로3가 > 동대문,37,12.374,45.253,311.889,777.068,823.747,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000448,1,rail,line_3,종로3가,교대,종로3가 > 압구정 > 고속터미널 > 교대,242,2.788,3.916,757.111,2592.011,2910.896,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000449,1,rail,line_5,공덕,왕십리,공덕 > 여의도 > 왕십리,375,12.559,4.245,1336.874,3644.846,4042.915,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000450,1,rail,line_5,김포공항,여의도,김포공항 > 마곡나루 > 공덕 > 여의도,325,8.123,5.997,1111.084,4607.374,5125.072,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000451,1,rail,line_4,서울역,사당,서울역 > 사당,160,0.679,13.068,1606.093,3943.990,4222.973,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
