trip_id,segment_id,route_id,route_name,stop_sequence,route_id_in_processed_reference,stops_in_processed_reference,official_route_membership,official_stop_sequence,road_route_polyline,geometry_method,median_distance_to_reference_stops_m,p95_distance_to_reference_stops_m,max_distance_to_reference_stops_m,status_reason
trip_000301,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,624.750,1257.099,1327.457,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000302,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,628.877,1242.537,1322.962,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000303,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2016.305,3447.657,3864.408,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000304,1,740,Seoul city bus 740,시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2021.115,3176.376,3459.299,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000305,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,602.529,1237.119,1328.219,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000306,1,402,Seoul city bus 402,시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2220.791,4078.477,4357.445,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000307,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구 > Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1196.135,2048.624,2305.160,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000308,1,402,Seoul city bus 402,시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2041.981,4080.709,4358.424,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000309,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,577.118,1233.525,1308.065,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000310,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,831.583,1664.757,1772.542,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000311,1,402,Seoul city bus 402,창동이마트 > 시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2203.344,4160.478,4821.359,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000312,1,421,Seoul city bus 421,압구정역4번출구 > Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1185.403,2086.828,2301.252,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000313,1,740,Seoul city bus 740,시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2028.953,3210.531,3450.807,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000314,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,870.656,1675.405,1798.370,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000315,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1426.164,4656.323,5011.418,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000316,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1869.371,3644.072,3873.245,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000317,1,740,Seoul city bus 740,약수역2번출구.가온도서관 > 연신내역.연서시장 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1930.063,3503.501,3909.529,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000318,1,740,Seoul city bus 740,약수역2번출구.가온도서관 > 연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1957.615,3715.858,3909.398,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000319,1,7016,Seoul city bus 7016,"건대입구역사거리, 건대병원 > 동교동삼거리연희동방면",PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1404.766,4079.568,4339.907,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000320,1,402,Seoul city bus 402,창동이마트 > 시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2241.654,4174.062,4803.705,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000321,1,421,Seoul city bus 421,압구정역4번출구 > Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1181.437,2106.427,2299.964,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000322,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구 > Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1208.986,2059.782,2302.410,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000323,1,402,Seoul city bus 402,시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2188.012,4075.427,4365.940,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
